Employee_ID,Employee_Name,Job_Title,Hire_Date,Salary,Work_Location,Employment_Status
33,Pallavi,Research Scientist,23-12-2017,277929,Ahmedabad,On Leave
34,Sunil,Data Analyst,17-05-2025,142706,Chennai,Internship
35,Swati,Intern,24-08-2006,239608,Thiruvananthapuram,Terminated
36,Nisha,Product Manager,14-04-2025,36680,Bengaluru,Part-Time
37,Anjali,Intern,04-12-2000,133013,Thiruvananthapuram,Resigned
38,Akash,Financial Analyst,18-09-2024,278484,Toronto,Resigned
39,Varun,Product Manager,14-03-2005,113513,Indore,Probation
40,Priya,Quality Assurance Engineer,17-08-2013,23474,Berlin,Part-Time
41,Divya,Chief Technology Officer (CTO),06-09-2016,131231,Gurgaon,On Leave
44,Suresh,Chief Technology Officer (CTO),19-08-2008,93766,Toronto,Resigned
45,Rahul,Cloud Engineer,20-11-2024,115603,Gurgaon,Contract
47,Seema,Business Analyst,26-08-2014,276910,Kolkata,Internship
49,Ishita,Intern,31-05-2024,236322,Singapore,Retired
50,Rahul,UI/UX Designer,18-05-2011,206288,Mumbai,Contract
51,Deepak,Quality Assurance Engineer,31-10-2022,263438,Nagpur,Probation
53,Vivek,Software Engineer,17-05-2019,126374,Kolkata,Full-Time
54,Nitin,Legal Advisor,08-01-2017,140264,New York,Terminated
55,Ishita,Research Scientist,16-06-2021,243856,Kolkata,Freelance
56,Alok,Marketing Executive,11-06-2012,145509,Chandigarh,Internship
57,Sonali,Legal Advisor,03-11-2018,55156,Paris,Resigned
58,Rakesh,HR Manager,04-01-2012,202723,Chandigarh,Retired
59,Komal,Customer Support Specialist,27-03-2005,156909,Ahmedabad,Probation
60,Jyoti,Chief Financial Officer (CFO),15-12-2021,252734,Kolkata,Terminated
63,Sonali,Graphic Designer,24-10-2019,276161,Indore,Resigned
64,Nisha,DevOps Engineer,08-01-2006,25340,Kolkata,Resigned
65,Swati,Technical Architect,23-03-2010,190547,London,On Leave
66,Ajay,Legal Advisor,13-09-2007,219826,Mumbai,On Leave
67,Ravi,Intern,17-09-2010,263667,Berlin,Internship
68,Ritu,Financial Analyst,27-06-2021,273734,Coimbatore,Contract
69,Nitin,Intern,11-12-2022,261860,Tokyo,Part-Time
71,Sneha,Business Analyst,04-05-2012,261002,London,Probation
72,Harsh,Chief Financial Officer (CFO),26-07-2005,228894,New York,On Leave
73,Shreya,Chief Financial Officer (CFO),16-07-2024,149061,Tokyo,Probation
75,Ishita,Chief Technology Officer (CTO),04-02-2010,96192,Hyderabad,Contract
76,Farhan,Financial Analyst,11-03-2023,186575,Hyderabad,Terminated
77,Ravi,Chief Technology Officer (CTO),06-01-2000,208913,Mumbai,Retired
78,Anita,UI/UX Designer,09-09-2015,249199,Chandigarh,Contract
79,Manoj,Technical Architect,03-12-2002,77857,Indore,Resigned
80,Karan,Content Writer,11-08-2011,188772,Coimbatore,Internship
81,Amit,Business Analyst,12-05-2024,57076,Dubai,On Leave
84,Tina,Project Coordinator,29-10-2023,33190,Pune,Part-Time
85,Sneha,System Administrator,19-10-2003,155321,Delhi,Internship
86,Nisha,Sales Manager,22-11-2023,36818,Delhi,Terminated
87,Deepak,Chief Financial Officer (CFO),29-08-2011,93196,Toronto,Freelance
89,Rakesh,Graphic Designer,12-02-2023,203115,Chandigarh,Terminated
91,Ishita,Quality Assurance Engineer,03-11-2000,138227,New York,Contract
92,Kavita,Cloud Engineer,18-08-2024,105454,Pune,Full-Time
93,Amit,Content Writer,25-09-2007,40336,Gurgaon,Resigned
94,Rakesh,Chief Financial Officer (CFO),31-10-2012,146057,Lucknow,Resigned
95,Ajay,HR Manager,16-10-2017,135097,Nagpur,Probation
97,Meena,Cloud Engineer,18-09-2003,261263,Jaipur,Probation
98,Divya,System Administrator,30-05-2007,239033,Gurgaon,Contract
99,Mohit,DevOps Engineer,11-03-2009,40140,New York,Terminated
100,Divya,Operations Manager,11-01-2024,77088,San Francisco,Freelance
101,Sonali,Project Coordinator,21-09-2004,215081,Delhi,On Leave
102,Nitin,DevOps Engineer,15-06-2001,197603,Chennai,Part-Time
103,Nisha,Chief Financial Officer (CFO),04-04-2017,256824,Kolkata,Retired
104,Vikas,Chief Financial Officer (CFO),02-01-2020,267730,Delhi,Part-Time
105,Seema,Machine Learning Engineer,09-04-2022,201469,Delhi,Part-Time
107,Anita,Team Lead,23-07-2006,226413,Coimbatore,Freelance
108,Sanjay,Business Analyst,19-04-2007,109225,Paris,Contract
109,Rakesh,Team Lead,22-03-2020,130365,Singapore,Part-Time
110,Vikas,Team Lead,09-04-2014,53624,Mumbai,Full-Time
111,Amit,Chief Technology Officer (CTO),04-11-2005,235475,Bengaluru,Contract
112,Komal,IT Support,07-09-2002,271254,Mumbai,Retired
113,Tina,Team Lead,21-12-2013,205303,Mumbai,Retired
114,Nisha,Content Writer,23-10-2004,178140,Thiruvananthapuram,On Leave
116,Ishita,Technical Architect,11-06-2002,228148,Indore,Contract
117,Sneha,Content Writer,23-09-2017,26466,Kolkata,Probation
118,Rekha,System Administrator,16-09-2022,114313,Nagpur,Part-Time
119,Karan,Business Analyst,19-09-2023,85916,Jaipur,Contract
120,Jyoti,Software Engineer,18-08-2003,205510,Dubai,Part-Time
121,Alok,Graphic Designer,17-09-2012,219007,Indore,Probation
122,Sanjay,Graphic Designer,18-10-2005,208307,Kolkata,Terminated
123,Anita,Quality Assurance Engineer,16-07-2019,239991,Tokyo,Part-Time
125,Rakesh,Machine Learning Engineer,18-08-2011,213345,Thiruvananthapuram,Internship
126,Gaurav,UI/UX Designer,28-05-2004,144111,Pune,Full-Time
127,Amit,Cloud Engineer,31-01-2022,168736,Coimbatore,Retired
128,Akash,Cloud Engineer,12-05-2005,109589,Delhi,Freelance
129,Komal,Project Coordinator,17-02-2025,204652,Delhi,Resigned
130,Ritu,Operations Manager,13-12-2000,120045,Tokyo,Probation
132,Rekha,Research Scientist,30-08-2009,154091,Chandigarh,Resigned
135,Harsh,Technical Architect,09-05-2011,64737,Tokyo,Terminated
136,Rohan,Content Writer,10-04-2013,204540,Thiruvananthapuram,Terminated
138,Mohit,Product Manager,09-11-2022,281239,Dubai,Internship
139,Jyoti,Cloud Engineer,28-07-2020,253376,Hyderabad,Full-Time
140,Seema,Customer Support Specialist,30-03-2013,252874,Paris,Probation
141,Deepak,Research Scientist,21-11-2014,91594,Tokyo,Freelance
144,Swati,Operations Manager,05-06-2000,245440,Coimbatore,Internship
145,Rekha,Chief Executive Officer (CEO),08-08-2006,173040,Toronto,Retired
147,Pankaj,Sales Manager,25-04-2012,96534,Kolkata,Resigned
150,Anita,Team Lead,23-07-2018,292146,Kolkata,Freelance
151,Pankaj,Recruiter,23-10-2001,236191,Chennai,Retired
153,Ishita,Data Analyst,11-05-2001,90709,Dubai,Freelance
154,Mohit,Legal Advisor,04-06-2016,47737,Chandigarh,Freelance
156,Harsh,Software Engineer,28-06-2007,176348,Chandigarh,Freelance
158,Rakesh,Chief Executive Officer (CEO),10-08-2009,66779,Dubai,Part-Time
159,Vikas,Customer Support Specialist,12-03-2016,284421,Toronto,Probation
161,Neha,DevOps Engineer,05-08-2001,50404,Tokyo,Terminated
163,Raj,Software Engineer,24-10-2012,82570,Lucknow,Part-Time
165,Pankaj,Recruiter,16-05-2003,287661,Paris,Internship
166,Ritu,Technical Architect,14-11-2006,199323,Noida,Probation
168,Ravi,Recruiter,26-06-2021,107671,Ahmedabad,Part-Time
169,Pooja,Chief Financial Officer (CFO),30-05-2006,256809,Coimbatore,Contract
170,Sakshi,Operations Manager,24-02-2006,110892,Mumbai,Retired
171,Raj,Chief Financial Officer (CFO),10-06-2019,106385,San Francisco,Retired
172,Nisha,Software Engineer,15-05-2000,233748,Singapore,Terminated
173,Nisha,Machine Learning Engineer,07-05-2008,134190,San Francisco,Contract
174,Ishita,Cloud Engineer,24-09-2010,221426,London,Full-Time
175,Swati,Software Engineer,10-08-2018,264909,Hyderabad,Terminated
176,Sanjay,Technical Architect,18-08-2018,36394,Chandigarh,Resigned
177,Deepak,Technical Architect,06-11-2001,109548,Noida,On Leave
178,Sonali,Software Engineer,18-04-2001,187285,San Francisco,Resigned
179,Lokesh,Cloud Engineer,26-06-2013,254235,London,On Leave
180,Sonali,Business Analyst,07-09-2015,90598,Dubai,Part-Time
181,Manoj,Team Lead,22-03-2022,236067,San Francisco,Contract
182,Maya,IT Support,29-10-2017,189177,Toronto,Contract
184,Sonali,Intern,23-03-2016,121307,Gurgaon,Resigned
185,Manoj,Recruiter,19-08-2018,46651,Bengaluru,Contract
186,Nisha,Data Analyst,22-05-2008,224349,Jaipur,Resigned
187,Lokesh,Accountant,13-02-2016,37859,Coimbatore,Resigned
188,Rahul,Chief Technology Officer (CTO),13-05-2020,133793,Mumbai,Contract
189,Akash,Customer Support Specialist,16-09-2025,139292,London,Contract
190,Nisha,Cloud Engineer,11-12-2000,160144,Nagpur,Probation
192,Seema,UI/UX Designer,31-08-2017,108287,Hyderabad,Internship
193,Rekha,Project Coordinator,01-12-2012,62219,Toronto,Full-Time
194,Pankaj,Technical Architect,27-07-2009,87266,Ahmedabad,Terminated
196,Anjali,Business Analyst,29-08-2002,120012,Coimbatore,Retired
198,Maya,Legal Advisor,05-08-2009,289115,Nagpur,Freelance
199,Rahul,Chief Financial Officer (CFO),16-09-2012,294746,Berlin,Internship
200,Rakesh,Technical Architect,28-11-2008,259486,Gurgaon,On Leave
201,Alok,HR Manager,22-03-2018,138699,Dubai,Terminated
203,Akash,Software Engineer,05-03-2009,217003,Mumbai,Retired
204,Pankaj,Recruiter,11-09-2024,158986,Coimbatore,Resigned
205,Rahul,Chief Financial Officer (CFO),27-11-2022,69136,Delhi,Contract
206,Sonali,HR Manager,14-11-2000,272080,Pune,Part-Time
207,Sonali,Operations Manager,28-04-2004,22801,Nagpur,Terminated
208,Anita,Machine Learning Engineer,07-09-2008,221176,Pune,Resigned
209,Sunil,Project Coordinator,22-09-2012,202583,Berlin,Internship
211,Nisha,Project Coordinator,04-02-2000,206472,Tokyo,Probation
213,Vikas,Content Writer,25-04-2005,109673,Thiruvananthapuram,Part-Time
214,Vivek,Product Manager,12-08-2001,244998,Chandigarh,Terminated
216,Lokesh,Quality Assurance Engineer,29-06-2006,82025,Sydney,Retired
217,Vivek,Graphic Designer,27-05-2015,220074,Pune,Resigned
218,Ishita,Project Coordinator,10-05-2004,141401,Toronto,Retired
219,Ishita,Team Lead,06-08-2007,235842,Dubai,Resigned
220,Ajay,Chief Technology Officer (CTO),14-11-2003,74071,Hyderabad,Resigned
222,Karan,Content Writer,02-12-2007,199638,Chennai,Resigned
223,Vikas,UI/UX Designer,09-04-2005,203669,Chandigarh,Full-Time
224,Shreya,Team Lead,03-03-2010,104634,Coimbatore,Resigned
225,Shreya,Product Manager,20-12-2005,172983,Chennai,Freelance
226,Shreya,System Administrator,14-07-2013,179477,Hyderabad,Internship
227,Tina,Marketing Executive,29-01-2009,100384,San Francisco,Internship
228,Chirag,Legal Advisor,13-06-2005,271862,Coimbatore,Contract
229,Neha,Content Writer,08-02-2001,151750,Dubai,Freelance
230,Vikas,Team Lead,26-09-2016,25786,Jaipur,Internship
231,Akash,Legal Advisor,08-01-2015,60504,New York,On Leave
232,Pallavi,Chief Executive Officer (CEO),12-03-2004,190685,Nagpur,Resigned
233,Alok,Legal Advisor,09-02-2014,94622,Noida,Retired
234,Harsh,Recruiter,05-04-2021,140977,Coimbatore,Retired
235,Farhan,Team Lead,19-03-2001,107110,Dubai,Contract
236,Rohan,Software Engineer,21-12-2022,282627,Thiruvananthapuram,Terminated
237,Priya,Machine Learning Engineer,26-09-2021,65049,Singapore,Retired
238,Karan,Research Scientist,25-09-2025,21625,Singapore,Resigned
239,Ravi,Recruiter,03-05-2016,30765,San Francisco,Resigned
240,Gaurav,Recruiter,23-09-2022,144385,Bengaluru,Resigned
242,Ravi,Technical Architect,27-04-2007,197342,Gurgaon,Resigned
243,Karan,UI/UX Designer,27-07-2005,170803,Pune,Resigned
244,Arjun,UI/UX Designer,22-11-2005,155583,Pune,Retired
246,Karan,Cloud Engineer,15-06-2025,20471,Indore,Terminated
247,Maya,Project Coordinator,08-01-2015,211688,Chandigarh,Freelance
248,Raj,Quality Assurance Engineer,26-06-2021,170904,Pune,Full-Time
249,Varun,Cloud Engineer,31-03-2024,136829,Sydney,Freelance
251,Divya,Quality Assurance Engineer,21-12-2003,147040,Pune,Resigned
252,Komal,Sales Manager,11-04-2014,62601,Jaipur,Contract
253,Rohan,Chief Technology Officer (CTO),05-09-2024,70736,London,Contract
255,Ishita,System Administrator,01-01-2016,196200,Dubai,Full-Time
256,Lokesh,Chief Financial Officer (CFO),29-07-2001,150134,Nagpur,Probation
257,Manoj,Legal Advisor,22-08-2019,241229,New York,Internship
259,Chirag,Customer Support Specialist,13-07-2025,151237,Noida,Part-Time
260,Divya,DevOps Engineer,17-01-2016,121594,Lucknow,Contract
261,Suresh,System Administrator,06-11-2005,147076,San Francisco,Freelance
262,Farhan,Recruiter,22-01-2022,290417,Delhi,Terminated
264,Vivek,Graphic Designer,22-05-2018,229173,Ahmedabad,Terminated
265,Sakshi,Sales Manager,13-05-2018,71319,Mumbai,Part-Time
266,Ajay,Legal Advisor,04-11-2007,111078,Tokyo,Internship
267,Komal,Operations Manager,21-12-2002,76334,Chandigarh,On Leave
268,Pooja,System Administrator,04-03-2003,190888,Chandigarh,Retired
269,Ravi,Cloud Engineer,17-06-2024,220183,Noida,Part-Time
270,Nisha,Machine Learning Engineer,12-01-2024,227833,Lucknow,On Leave
271,Jyoti,DevOps Engineer,16-03-2000,235856,London,Terminated
272,Nitin,IT Support,17-02-2002,24040,Berlin,Part-Time
273,Sneha,Technical Architect,10-04-2024,190173,Indore,Resigned
274,Jyoti,Machine Learning Engineer,09-12-2014,260906,Ahmedabad,Terminated
275,Akash,Legal Advisor,22-08-2007,32390,New York,Terminated
277,Alok,IT Support,25-09-2023,280967,Ahmedabad,Freelance
279,Manoj,Operations Manager,08-02-2017,172404,Nagpur,Terminated
281,Rakesh,UI/UX Designer,14-05-2023,154954,Gurgaon,On Leave
282,Divya,Chief Financial Officer (CFO),27-01-2023,274957,Sydney,Probation
283,Rekha,HR Manager,18-11-2005,153363,Chandigarh,Resigned
284,Mohit,System Administrator,06-10-2021,120064,Mumbai,Part-Time
285,Komal,Recruiter,10-01-2013,151972,Ahmedabad,Part-Time
286,Karan,Chief Financial Officer (CFO),24-02-2014,279324,Ahmedabad,Freelance
287,Ishita,Graphic Designer,15-01-2015,241496,London,Freelance
288,Komal,UI/UX Designer,23-08-2020,201796,San Francisco,Part-Time
289,Rahul,Graphic Designer,31-03-2009,60415,Nagpur,On Leave
290,Vivek,Sales Manager,17-10-2000,57701,San Francisco,Terminated
291,Kavita,HR Manager,19-09-2000,52994,Kolkata,Contract
292,Sunil,Software Engineer,01-05-2016,191943,Hyderabad,Internship
293,Sunil,Software Engineer,03-07-2010,115358,Kolkata,Freelance
295,Priya,Chief Technology Officer (CTO),22-10-2020,103362,Nagpur,Resigned
297,Manoj,Data Analyst,14-10-2010,145916,Chandigarh,Freelance
298,Anita,HR Manager,05-12-2023,261662,Ahmedabad,Part-Time
299,Ishita,Intern,14-11-2018,250021,Hyderabad,Resigned
301,Gaurav,Data Analyst,10-10-2008,245913,London,Part-Time
302,Maya,Chief Executive Officer (CEO),26-07-2015,122346,Mumbai,Probation
303,Nisha,DevOps Engineer,11-06-2016,45857,Nagpur,Full-Time
304,Arjun,Recruiter,12-03-2011,90004,Dubai,Terminated
305,Vivek,Financial Analyst,14-08-2019,75644,Thiruvananthapuram,Freelance
306,Vikas,System Administrator,02-08-2001,50400,Kolkata,Terminated
308,Rakesh,Accountant,08-12-2010,101081,Ahmedabad,Full-Time
309,Manoj,Customer Support Specialist,01-11-2013,64111,Chennai,On Leave
310,Ishita,HR Manager,28-01-2018,24183,Gurgaon,Part-Time
312,Komal,Financial Analyst,27-12-2021,222703,London,Part-Time
313,Maya,Graphic Designer,26-12-2025,294154,Thiruvananthapuram,Contract
314,Vikas,Financial Analyst,10-06-2005,26570,Toronto,Probation
315,Varun,Quality Assurance Engineer,15-11-2013,179936,Mumbai,Contract
316,Nitin,Chief Technology Officer (CTO),12-05-2016,18452,Tokyo,Internship
317,Sneha,DevOps Engineer,24-01-2015,228233,Lucknow,Part-Time
318,Ritu,Content Writer,08-12-2007,183366,Berlin,Full-Time
320,Suresh,Chief Technology Officer (CTO),26-05-2023,137175,London,Freelance
321,Sakshi,System Administrator,21-08-2010,40136,Bengaluru,Internship
322,Divya,Technical Architect,21-06-2004,16689,Jaipur,On Leave
323,Varun,Content Writer,02-01-2003,82069,Kolkata,Terminated
324,Priya,Product Manager,01-08-2008,240067,Ahmedabad,Probation
325,Anita,Chief Financial Officer (CFO),25-02-2023,15378,Pune,Freelance
328,Arjun,Financial Analyst,04-05-2023,236443,Noida,Retired
329,Meena,Data Analyst,22-04-2021,27481,Bengaluru,Full-Time
330,Sakshi,Content Writer,29-11-2023,253527,Lucknow,Part-Time
331,Amit,Chief Executive Officer (CEO),06-12-2017,73598,Nagpur,Probation
333,Ravi,Product Manager,11-09-2019,126270,Coimbatore,Contract
334,Lokesh,Legal Advisor,05-07-2013,220931,Jaipur,Full-Time
335,Pankaj,Data Analyst,19-10-2019,189233,Ahmedabad,Part-Time
336,Neha,Recruiter,17-08-2002,64069,Delhi,Terminated
337,Mohit,Chief Technology Officer (CTO),11-01-2013,49889,Toronto,Resigned
338,Priya,Machine Learning Engineer,17-12-2020,233927,London,Contract
339,Alok,Financial Analyst,02-07-2001,19345,San Francisco,Contract
341,Sakshi,HR Manager,03-04-2016,98926,Tokyo,Retired
342,Kavita,Team Lead,18-09-2015,197028,Singapore,Part-Time
343,Tina,Chief Financial Officer (CFO),30-04-2023,249408,Pune,Full-Time
344,Ravi,Technical Architect,21-09-2012,55206,Singapore,On Leave
345,Sonali,Research Scientist,30-07-2013,141416,San Francisco,Part-Time
349,Harsh,Graphic Designer,21-10-2020,225353,Singapore,Terminated
350,Sneha,UI/UX Designer,30-09-2022,129108,Gurgaon,Contract
351,Sakshi,Accountant,18-09-2012,182415,Noida,Resigned
352,Shreya,Technical Architect,17-11-2012,286779,Chandigarh,Part-Time
356,Komal,Business Analyst,10-02-2006,212148,Nagpur,Part-Time
357,Chirag,Legal Advisor,28-09-2025,25210,Delhi,Full-Time
358,Priya,Cloud Engineer,21-04-2000,74358,Jaipur,Probation
359,Sunil,Machine Learning Engineer,08-06-2003,273428,Delhi,Part-Time
360,Ravi,Quality Assurance Engineer,24-11-2003,212094,Singapore,Terminated
361,Swati,Content Writer,24-04-2015,222613,Nagpur,Part-Time
362,Harsh,Financial Analyst,17-09-2019,279752,Ahmedabad,Terminated
363,Sonali,Machine Learning Engineer,03-04-2025,246119,Lucknow,Resigned
364,Deepak,Data Analyst,16-03-2009,207470,London,Terminated
365,Varun,UI/UX Designer,28-11-2005,224578,Ahmedabad,Part-Time
366,Suresh,Recruiter,04-01-2013,150663,Noida,Internship
367,Anita,Intern,28-04-2009,185986,Indore,On Leave
368,Harsh,Research Scientist,07-12-2023,84072,Nagpur,Resigned
369,Ishita,Chief Executive Officer (CEO),27-07-2007,133743,Chandigarh,Probation
370,Lokesh,Financial Analyst,17-09-2005,161914,Ahmedabad,Freelance
372,Rekha,Chief Executive Officer (CEO),03-02-2011,165615,London,Full-Time
373,Kavita,Cloud Engineer,10-12-2023,226808,Indore,Part-Time
374,Seema,Software Engineer,06-06-2019,58839,Dubai,Full-Time
375,Harsh,Software Engineer,05-09-2015,274232,Thiruvananthapuram,Probation
376,Swati,Chief Executive Officer (CEO),07-10-2019,168113,New York,Retired
377,Harsh,Customer Support Specialist,14-02-2011,178109,New York,Resigned
378,Sneha,Machine Learning Engineer,15-09-2007,17365,Tokyo,Full-Time
379,Alok,DevOps Engineer,12-07-2002,38903,Nagpur,Resigned
380,Sonali,Research Scientist,16-05-2023,74720,Lucknow,Terminated
381,Mohit,Chief Financial Officer (CFO),03-03-2008,215785,Toronto,Retired
383,Rohan,Machine Learning Engineer,19-11-2015,50014,Thiruvananthapuram,Contract
384,Suresh,Legal Advisor,06-10-2002,100692,Jaipur,Internship
385,Karan,Team Lead,28-01-2002,17014,Jaipur,Internship
386,Maya,Graphic Designer,28-12-2008,49666,Pune,Freelance
387,Manoj,HR Manager,20-10-2013,216168,Bengaluru,On Leave
389,Sanjay,Operations Manager,02-01-2020,101265,Sydney,Freelance
390,Nisha,Product Manager,30-01-2011,82081,New York,On Leave
391,Sonali,Product Manager,14-05-2013,155746,Tokyo,Contract
393,Rekha,DevOps Engineer,28-04-2013,266160,Sydney,Freelance
394,Suresh,Content Writer,08-06-2017,47145,London,Freelance
395,Ravi,System Administrator,27-06-2022,247594,Hyderabad,Full-Time
396,Deepak,Chief Technology Officer (CTO),31-03-2009,237754,Lucknow,Internship
397,Sunil,Quality Assurance Engineer,21-03-2022,105292,Noida,Freelance
398,Tina,Legal Advisor,12-05-2025,65653,Jaipur,Resigned
399,Arjun,Graphic Designer,13-04-2016,259269,Noida,Internship
400,Ravi,Data Analyst,23-08-2003,37772,Tokyo,Contract
402,Sanjay,Quality Assurance Engineer,21-10-2007,36774,Chennai,Internship
404,Arjun,Customer Support Specialist,10-10-2016,34670,San Francisco,Resigned
405,Jyoti,Software Engineer,02-08-2010,162386,Ahmedabad,Retired
406,Rohan,Chief Technology Officer (CTO),19-08-2022,24038,New York,Resigned
407,Akash,HR Manager,19-01-2014,136347,Bengaluru,Retired
408,Sanjay,HR Manager,29-05-2012,133840,Bengaluru,On Leave
409,Anita,Product Manager,06-06-2006,165287,Mumbai,Retired
411,Anita,HR Manager,05-02-2002,156627,Tokyo,Probation
412,Rohan,Quality Assurance Engineer,23-08-2025,173449,New York,Part-Time
413,Chirag,Project Coordinator,10-11-2010,83281,Indore,Internship
414,Karan,Data Analyst,15-12-2020,83795,Sydney,Retired
415,Farhan,Chief Executive Officer (CEO),02-10-2012,24177,Pune,Internship
416,Akash,Customer Support Specialist,20-09-2009,230811,Kolkata,Freelance
417,Seema,Chief Financial Officer (CFO),15-12-2017,69449,Kolkata,On Leave
418,Amit,Project Coordinator,11-03-2016,89857,San Francisco,Probation
419,Deepak,Data Analyst,24-07-2019,223826,Thiruvananthapuram,Freelance
420,Shreya,Team Lead,26-01-2001,113649,Sydney,Resigned
421,Harsh,Content Writer,12-07-2011,144148,Jaipur,Internship
422,Rahul,Accountant,02-10-2015,119084,Noida,On Leave
424,Manoj,Team Lead,09-02-2007,89810,Hyderabad,Internship
425,Raj,Recruiter,09-06-2019,23900,Pune,Part-Time
426,Neha,IT Support,25-02-2006,235766,Berlin,Probation
427,Anita,Cloud Engineer,05-09-2024,81071,Paris,Retired
428,Maya,Intern,16-06-2013,178284,London,Retired
430,Ishita,Team Lead,14-11-2006,98718,San Francisco,Contract
431,Vikas,Customer Support Specialist,12-11-2021,33927,Chennai,On Leave
432,Divya,Operations Manager,24-11-2011,147835,London,Terminated
434,Karan,Product Manager,18-09-2021,217985,New York,Freelance
435,Ritu,Chief Executive Officer (CEO),06-12-2009,148395,Singapore,Resigned
436,Karan,DevOps Engineer,30-04-2004,74028,Jaipur,Freelance
437,Deepak,Cloud Engineer,27-05-2006,200809,Paris,Resigned
438,Rakesh,Machine Learning Engineer,20-06-2025,115775,Coimbatore,Internship
441,Deepak,Chief Technology Officer (CTO),28-10-2023,144098,Indore,Retired
442,Meena,Technical Architect,25-06-2006,271893,San Francisco,Retired
443,Jyoti,Quality Assurance Engineer,09-02-2020,191736,Coimbatore,Resigned
444,Swati,Marketing Executive,02-12-2000,120381,Pune,Terminated
445,Arjun,Recruiter,30-07-2007,222998,Toronto,On Leave
446,Sonali,Sales Manager,11-06-2008,69232,Toronto,Probation
447,Raj,Business Analyst,25-01-2012,83519,Chennai,Full-Time
448,Ishita,Financial Analyst,31-03-2015,244430,Indore,Probation
449,Raj,Quality Assurance Engineer,06-12-2000,124587,Gurgaon,Resigned
451,Tina,Recruiter,26-04-2022,48756,Delhi,Contract
453,Pallavi,Accountant,01-03-2004,100900,Paris,Internship
454,Sanjay,Software Engineer,10-09-2014,63479,Hyderabad,Freelance
455,Divya,Customer Support Specialist,22-01-2011,274459,London,On Leave
457,Deepak,Business Analyst,13-05-2017,245028,London,Full-Time
458,Tina,Machine Learning Engineer,30-04-2020,299018,Mumbai,Freelance
460,Karan,System Administrator,12-09-2017,270484,London,Resigned
461,Neha,Machine Learning Engineer,14-09-2009,249334,Berlin,Retired
462,Anjali,Chief Technology Officer (CTO),09-01-2015,277184,Gurgaon,Probation
463,Vivek,IT Support,03-10-2002,63498,Indore,Part-Time
464,Ishita,Project Coordinator,22-11-2011,133370,Kolkata,Freelance
465,Rohan,Customer Support Specialist,03-05-2017,246232,Tokyo,Internship
466,Sanjay,Chief Executive Officer (CEO),04-03-2022,277817,Singapore,Probation
467,Seema,Quality Assurance Engineer,10-01-2017,215401,Toronto,Probation
470,Deepak,Graphic Designer,31-08-2006,121831,Pune,Probation
471,Meena,Data Analyst,31-07-2013,103210,Pune,Internship
472,Swati,IT Support,05-06-2020,132021,Coimbatore,Terminated
473,Sneha,Business Analyst,07-12-2016,163388,Kolkata,Probation
475,Sanjay,HR Manager,24-04-2011,256530,Jaipur,Retired
476,Rahul,Recruiter,15-09-2014,294753,Thiruvananthapuram,Contract
477,Arjun,Legal Advisor,17-12-2000,15625,Delhi,On Leave
